ИСУ,Наименование,Сроки,Год,Тип,Ранг,Роли
1, Пятьдесят вторая (LII) научная и учебно-методическая конференция Университета ИТМО,31 Января - 03 Февраля,2023,Конференция,университетский,Участник
1,Деятельность проекта &quot;Адаптер&quot;. Осень 2018,31 Августа - 31 Января,2018,Проект,университетский,Волонтер
1,День открытых дверей Университета ИТМО для будущих бакалавров,27 Января,2019,День открытых дверей,университетский,Волонтер
1,Startup Aquarium,26 Мая,2023,Конференция,городской,Ответственный исполнитель
1,Квест-игра &quot;Fotonics Horror Story&quot;,25 Сентября,2019,Квест,факультетский,Ответственный исполнитель
1,ITMO OPEN TALK с Евгением Мутовкиным,22 Декабря,2022,Митап,университетский,Ответственный исполнитель
1,День открытых дверей Университета ИТМО,21 Апреля,2019,День открытых дверей,университетский,Волонтер
1,Выездной лагерь МФ Фотоники в рамках &quot;ITMO.Megabattle&quot;,19 Октября - 20 Октября,2019,Лагерь,факультетский,Организатор
1,ITMO FAMILY DAY,18 Июня,2022,Фестиваль,городской,Участник
1,День открытых дверей Университета ИТМО для будущих бакалавров,16 Декабря,2018,День открытых дверей,университетский,Волонтер
1,Фестиваль для школьников ITMO.START,15 Сентября,2019,Фестиваль,университетский,Волонтер
1,Прикладная оптика 2022,15 Декабря - 16 Декабря,2022,Конференция,международный,Участник
1,IT Conf 2.0: IT в меняющемся мире,08 Апреля,2023,Конференция,городской,Ответственный исполнитель
1,Чемпионат Университета ИТМО среди первокурсников по бадминтону,07 Октября,2017,Соревнование,университетский,Участник
1,Турнир новичка Университета ИТМО по бадминтону,07 Октября,2017,Соревнование,университетский,Участник
1,XII Конгресс молодых ученых,03 Апреля - 06 Апреля,2023,Конгресс,всероссийский,Участник
1,Участие клуба ITMO impact на Epicon 2023,02 Июня - 06 Июня,2023,Квест,городской,Волонтер
12,Halloween Party,31 Октября,2020,Вечеринка,университетский,Организатор
12,Introduction Days,31 Августа - 03 Сентября,2020,День открытых дверей,университетский,Волонтер
12,Посвящение в студенты «ITMO.GO!»,31 Августа,2019,Праздник,университетский,Участник
12,Halloween with Speaking Club in Yagodnoye,30 Октября - 31 Октября,2021,Праздник,университетский,Организатор
12,Культурный квест,29 Сентября,2019,Квест,городской,Волонтер
12,Отвальная,29 Августа,2020,Праздник,университетский,Ответственный исполнитель
12,Movie night (2020-2021 2nd semester),28 Января - 25 Июня,2021,Встреча,университетский,Организатор
12,Лига Университета ИТМО по шахматам (финальный круг) (Kronbars Games),28 Мая - 29 Мая,2022,Соревнование,университетский,Участник
